"","PassengerId","Survived","Pclass","Name","Sex","Age","Fare","Embarked","TamanyFamilia"
"1",1,0,3,"Braund, Mr. Owen Harris","male",22,7.25,"S",2
"2",2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)","female",38,71.2833,"C",2
"3",3,1,3,"Heikkinen, Miss. Laina","female",26,7.925,"S",1
"4",4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)","female",35,53.1,"S",2
"5",5,0,3,"Allen, Mr. William Henry","male",35,8.05,"S",1
"6",6,0,3,"Moran, Mr. James","male",22,8.4583,"Q",1
"7",7,0,1,"McCarthy, Mr. Timothy J","male",54,51.8625,"S",1
"8",8,0,3,"Palsson, Master. Gosta Leonard","male",2,21.075,"S",5
"9",9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)","female",27,11.1333,"S",3
"10",10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)","female",14,30.0708,"C",2
"11",11,1,3,"Sandstrom, Miss. Marguerite Rut","female",4,16.7,"S",3
"12",12,1,1,"Bonnell, Miss. Elizabeth","female",58,26.55,"S",1
"13",13,0,3,"Saundercock, Mr. William Henry","male",20,8.05,"S",1
"14",14,0,3,"Andersson, Mr. Anders Johan","male",39,31.275,"S",7
"15",15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina","female",14,7.8542,"S",1
"16",16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ","female",55,16,"S",1
"17",17,0,3,"Rice, Master. Eugene","male",2,29.125,"Q",6
"18",18,1,2,"Williams, Mr. Charles Eugene","male",62,13,"S",1
"19",19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)","female",31,18,"S",2
"20",20,1,3,"Masselmani, Mrs. Fatima","female",34.5,7.225,"C",1
"21",21,0,2,"Fynney, Mr. Joseph J","male",35,26,"S",1
"22",22,1,2,"Beesley, Mr. Lawrence","male",34,13,"S",1
"23",23,1,3,"McGowan, Miss. Anna ""Annie""","female",15,8.0292,"Q",1
"24",24,1,1,"Sloper, Mr. William Thompson","male",28,35.5,"S",1
"25",25,0,3,"Palsson, Miss. Torborg Danira","female",8,21.075,"S",5
"26",26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)","female",38,31.3875,"S",7
"27",27,0,3,"Emir, Mr. Farred Chehab","male",33,7.225,"C",1
"28",28,0,1,"Fortune, Mr. Charles Alexander","male",19,263,"S",6
"29",29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""","female",31,7.8792,"Q",1
"30",30,0,3,"Todoroff, Mr. Lalio","male",43,7.8958,"S",1
"31",31,0,1,"Uruchurtu, Don. Manuel E","male",40,27.7208,"C",1
"32",32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)","female",60,146.5208,"C",2
"33",33,1,3,"Glynn, Miss. Mary Agatha","female",28,7.75,"Q",1
"34",34,0,2,"Wheadon, Mr. Edward H","male",66,10.5,"S",1
"35",35,0,1,"Meyer, Mr. Edgar Joseph","male",28,82.1708,"C",2
"36",36,0,1,"Holverson, Mr. Alexander Oskar","male",42,52,"S",2
"37",37,1,3,"Mamee, Mr. Hanna","male",36,7.2292,"C",1
"38",38,0,3,"Cann, Mr. Ernest Charles","male",21,8.05,"S",1
